source,target,hash,block,timestamp,value_wei,value_eth,gas,gas_price,type
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x160f65ebc46afcaedd67a88e2c9cc753aab3308a1cd63d3e2901f48eea31a8fa,2810865,1481778105,5680000000000000,0.00568,21000,20000000000,transfer
0x613032ef40cd167d9d7fabe82f790880ccd20989,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x6d7825a15558a43e21e131af10e8808820900cded70b19f4ba436c2b3c792b13,3181724,1487073726,2187417000000000000,2.187417,21000,41000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x4b53dfb8e8808b9187052e4f59cec92d58d544d1,0x71e226b60adae59f2ed94b913c3b7ca108c25db5b198c8ddb68ace9dfedf7383,3181758,1487074278,2089038000000000000,2.089038,21000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x4f2d8d1f6616946fa9171779d69dfea0c912eed7e5b617b380e34db8398e9f5e,3186015,1487135034,10080000000000000,0.01008,21000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x63dd47f77b171eedc87a6d5e2ef6488f52c1071ca35df395a8dc4b00fa08dbad,3366129,1489724774,86997000000000000,0.086997,21000,20000000000,transfer
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x753850aee9367585edf4b2d49abb16cd778ea878bfc8b65b585a8d5ba60e3e92,3709268,1494825591,12410046600000000000,12.4100466,90000,20000000000,transfer
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x3a09bf566fe81a65c5ebdc3db604da028969b2fd7f23f14bd8d20a3b0f06f98c,3719044,1494981668,110000000000000000,0.11,90000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xd2c18a28240e3c28063976c722a0b02aeff75e80,0x0625a0604f4f78950dfaa02e6dcc7a4a5e45783054d26fa3aae36a422bcda2b7,3719102,1494982868,12357364650000000000,12.35736465,21000,23175604467,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x0d1e7de369d1ef8043363ada571392bfd1b236818ee72fb84b2db61bf74f70b4,3719772,1494993857,61610940000000000,0.06161094,21000,23288935732,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x91f9658ce12b05dc3bf4389782d8d3b43c9ced01,0x6cf17dbb8563f608bd475c7564986879a85bc1ba2b020e20e34f45e2c3db8381,3723456,1495053152,99472270000000000,0.09947227,23100,22602674394,transfer
